;Title, http://www.gcdataconcepts.com, x16-1d, ADXL345
;Version, 1877, Build date, Jan  8 2020,  SN:CCDC4016ECDDBE3
;Start_time, 2022-11-10, 20:02:48.424
;Uptime, 4,sec,  Vbat, 1448, mv, EOL, 1100, mv
;SampleRate, 100,Hz
;Deadband, 100, counts
;DeadbandTimeout, 15.000,sec
;Time, Ax, Ay, Az
0.160799,-4,-106,-1997
0.170476,-8,-172,-2095
0.180183,-6,-172,-2122
0.189860,-11,-117,-2132
0.199860,-6,-81,-2148
0.209567,1,-84,-2125
0.219243,-6,-75,-2084
0.228950,5,-40,-2075
0.238657,-11,-45,-1957
0.248657,1,-52,-1954
0.258334,35,-4,-2066
0.268041,-58,-108,-1634
0.277717,148,49,-2425
0.287424,464,355,-3450
0.297424,251,14,-2313
0.307101,-31,-170,-1981
0.316808,-9,10,-2475
0.326484,51,-75,-2234
0.336191,41,-147,-2120
0.346191,16,-70,-2082
0.355868,5,-22,-1977
0.365575,16,-42,-1888
0.375251,30,-54,-1918
0.384958,26,-70,-1982
0.394958,16,-88,-1988
0.404635,21,-83,-2009
0.414342,17,-88,-2056
0.424018,-13,-75,-2141
0.433725,0,-92,-2115
0.443725,26,-52,-2090
0.453402,-75,-25,-2202
0.463109,103,-167,-1704
0.472786,387,-52,-1847
0.482493,224,-33,-3129
0.492493,76,-256,-2938
0.502169,39,-129,-2090
0.511876,-24,-33,-2075
0.521583,-36,-70,-2116
0.531260,-24,-31,-2238
0.541260,5,-70,-2357
0.550967,-8,-70,-2302
0.560643,-18,21,-2229
0.570350,-4,0,-2027
0.580027,0,-45,-1829
0.590027,1,-33,-1824
0.599734,-11,-45,-1847
0.609410,-24,-63,-1870
0.619117,-8,-92,-1920
0.628794,-11,-118,-1952
0.638794,-25,-115,-1995
0.648501,-15,-95,-2070
0.658177,0,-79,-2123
0.667884,-8,-56,-2111
0.706944,-17,64,-2036
0.716651,-20,78,-1998
0.726328,-24,82,-1982
0.736328,-33,57,-1975
0.746035,-42,60,-1993
0.755712,-38,46,-2052
0.765419,-43,7,-2131
0.775095,-58,-13,-2175
0.785095,-65,-17,-2154
0.794802,-84,26,-2129
0.843569,-27,30,-1981
0.853246,-33,16,-1948
0.862953,-38,35,-1950
0.872660,-42,83,-1993
0.882660,-25,89,-2045
0.892336,-6,46,-2075
