;Title, http://www.gcdataconcepts.com, x16-1d, ADXL345
;Version, 1877, Build date, Jan  8 2020,  SN:CCDC4016ECDDBE3
;Start_time, 2022-11-15, 18:36:23.260
;Uptime, 5,sec,  Vbat, 1424, mv, EOL, 1100, mv
;SampleRate, 50,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;Time, Ax, Ay, Az
0.327046,1,19,-2025
0.347046,167,-177,-2020
0.366580,289,-317,-2031
0.386083,87,-72,-2052
0.405617,-47,-79,-2479
0.425151,-72,1,-2714
0.444684,87,451,-2395
0.464187,230,424,-3147
0.483721,24,-170,-2945
0.503255,237,-418,-427
0.523255,803,199,1467
0.542789,994,-350,173
0.562292,1115,-1525,-4023
0.581825,967,-847,-3461
0.601359,344,-175,455
0.620893,-383,282,-666
0.640426,148,287,-2402
0.659930,-56,264,-1349
0.679463,-2504,1833,-1184
0.699463,-1809,1117,-2431
0.718997,257,-463,-2663
0.740237,-40,46,-1986
0.758092,-42,55,-1998
0.777626,117,-129,-2075
0.797160,8,10,-1988
0.816663,64,-50,-2047
0.836197,37,-34,-2031
0.855730,19,-17,-2023
0.875264,33,-40,-2034
0.895264,41,-34,-2023
0.914767,48,-27,-2032
0.934301,44,-27,-2047
0.953835,41,-33,-2029
0.973338,39,-34,-2022
0.992872,35,-31,-2016
1.12405,37,-36,-2018
1.31908,37,-29,-2041
1.51442,35,-24,-2031
1.71442,39,-25,-2023
1.90976,41,-25,-2041
1.110479,41,-25,-2031
1.130013,41,-31,-2025
1.149546,33,-33,-2036
1.169080,33,-25,-2025
1.188583,44,-36,-2022
1.208117,32,-9,-2015
1.227651,37,-40,-2040
1.247651,78,-136,-2029
1.267184,76,-59,-1966
1.286687,89,10,-2007
1.306221,89,-24,-2034
1.325755,-13,-9,-2016
1.345258,-29,-8,-2040
1.364792,71,-11,-2031
1.384325,80,3,-2025
1.403859,32,-17,-2038
1.423859,96,-68,-1984
1.443362,83,-18,-2059
1.462896,-70,49,-2163
1.482430,-27,-15,-2047
1.501963,69,-38,-2006
1.521467,37,-18,-2036
1.541000,21,-24,-2018
1.560534,19,-11,-2031
1.580068,32,-22,-2031
1.600068,39,-31,-2025
1.619571,46,-25,-2048
1.639104,55,-24,-2016
1.658638,37,-13,-1993
1.678141,37,-24,-2034
1.697675,42,-45,-2056
1.717209,39,-11,-2065
1.736712,51,48,-2068
1.756246,55,30,-2115
1.776246,53,-31,-2223
1.795779,62,-25,-2336
1.815282,94,-17,-2450
1.834816,142,-113,-2382
1.854350,226,-161,-2304
1.873853,419,-90,-2216
1.893387,569,-125,-1325
1.912920,551,57,-816
1.932424,599,198,-1607
1.952424,694,-165,-2107
1.971957,669,-111,-1759
1.991491,649,119,-1499
2.11025,651,85,-2113
