;Title, http://www.gcdataconcepts.com, x16-1d, ADXL345
;Version, 1877, Build date, Jan  8 2020,  SN:CCDC4016ECDDBE3
;Start_time, 2022-11-16, 00:19:30.482
;Uptime, 4,sec,  Vbat, 1430, mv, EOL, 1100, mv
;SampleRate, 200,Hz
;Deadband, 0, counts
;DeadbandTimeout, 15.000,sec
;Time, Ax, Ay, Az
0.77301,-350,1058,-2736
0.82156,-540,608,-5196
0.87010,-124,589,-6087
0.92010,114,367,-3036
0.96865,69,180,-4652
0.101720,260,67,-6591
0.106720,112,-318,-3423
0.111605,92,-383,-4493
0.116460,191,-1133,-7107
0.121460,28,-1302,-4396
0.126315,-43,-1152,-4113
0.131169,7,-1997,-5807
0.136169,-125,-1768,-4321
0.141024,-336,-2313,-4671
0.145879,-325,-2747,-5500
0.150879,-134,-1411,-3223
0.155734,-186,-2125,-3064
0.160588,-377,-3239,-4721
0.165588,-67,-1424,-3179
0.170443,235,-1672,-1334
0.175298,-61,-3802,-3359
0.180298,-240,-1718,-2891
0.185183,-22,-1718,-586
0.190038,21,-3530,-2757
0.195038,-115,-1511,-2315
0.199893,-95,-2031,228
0.204747,-47,-2729,-1586
0.209747,-270,-1256,-1877
0.214602,-536,-2352,364
0.219457,-425,-2286,-304
0.224457,-183,-1256,-1229
0.229311,-100,-1843,-142
0.234166,-83,-1257,189
0.239166,-118,-1133,-183
0.244021,-149,-1349,-43
0.248876,-17,-636,-295
0.253876,-143,-886,-659
0.258730,-343,-734,-420
0.263616,46,-195,-117
0.268616,116,-174,-161
0.273470,103,-406,-850
0.278325,458,-188,-740
0.283325,346,416,-163
0.288180,191,305,-459
0.293035,176,244,-663
0.298035,164,73,-1374
0.302889,28,292,-1266
0.307744,-372,937,-824
0.312744,-459,1717,-756
0.317599,-217,1356,-329
0.322454,-356,296,-2806
0.327454,-213,1394,-3089
0.332308,539,2303,-727
0.337194,655,2124,-2027
0.342194,376,1189,-2084
0.347048,201,337,-2350
0.351903,142,1224,-4123
0.356903,8,1594,-2997
0.361758,-604,1212,-3145
0.366612,-613,1680,-4273
0.371612,-297,1587,-3727
0.376467,-322,380,-3788
0.381322,1,544,-5145
0.386322,208,758,-4536
0.391177,226,207,-4325
0.396031,249,55,-5752
0.401031,71,-331,-4120
0.405886,64,-529,-4584
0.410771,141,-804,-5966
0.415771,-24,-1052,-4845
0.420626,-117,-1502,-5234
0.425481,-172,-1836,-4928
0.430481,-402,-1565,-4189
0.435336,-406,-2284,-5516
0.440190,-224,-2513,-5364
0.445190,-72,-1200,-2875
0.450045,-56,-1745,-2988
0.454900,-270,-3163,-4288
0.459900,-90,-2811,-3673
0.464755,198,-1290,-2279
0.469609,-136,-2116,-1391
0.474609,-375,-3932,-3291
0.479464,-229,-1374,-2927
0.484319,-86,-1474,-297
