;Title, http://www.gcdataconcepts.com, x16-1d, ADXL345
;Version, 1877, Build date, Jan  8 2020,  SN:CCDC4016ECDDBE3
;Start_time, 2022-11-15, 16:29:11.412
;Uptime, 4,sec,  Vbat, 1412, mv, EOL, 1100, mv
;SampleRate, 100,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;Time, Ax, Ay, Az
0.160098,39,-34,-2023
0.169775,44,-29,-2022
0.179421,44,-33,-2036
0.189097,39,-34,-2034
0.199097,35,-25,-2013
0.208743,35,-25,-2034
0.218420,49,-22,-2040
0.228066,48,-15,-2020
0.237712,39,-24,-2048
0.247712,41,-33,-2057
0.257388,35,-29,-2041
0.267034,28,-20,-2036
0.276711,33,-25,-2027
0.286357,39,-24,-2031
0.296357,41,-13,-2040
0.306033,41,-20,-2041
0.315679,42,-33,-2034
0.325325,48,-33,-2016
0.335002,42,-27,-2018
0.345002,35,-27,-2025
0.354678,39,-29,-2038
0.364324,39,-25,-2047
0.374001,35,-31,-2048
0.383647,46,-29,-2043
0.393647,51,-20,-2020
0.403293,33,-29,-2018
0.412969,28,-34,-2034
0.422615,44,-24,-2036
0.432292,46,-29,-2034
0.442292,37,-31,-2027
0.451938,32,-15,-2016
0.461614,33,-18,-2018
0.471260,33,-33,-2029
0.480906,41,-24,-2013
0.490906,39,-22,-2018
0.500583,30,-29,-2045
0.510229,48,-29,-2045
0.519905,58,-27,-2040
0.529551,49,-18,-2031
0.539551,44,-20,-2029
0.549197,39,-29,-2023
0.558874,44,-20,-2007
0.568520,42,-17,-2016
0.578196,32,-25,-2031
0.588196,30,-27,-2034
0.597842,39,-24,-2023
0.607488,41,-20,-2022
0.617165,37,-18,-2040
0.626811,46,-24,-2048
0.636811,46,-31,-2041
0.646457,32,-24,-2036
0.656133,35,-18,-2040
0.665779,41,-25,-2040
0.675425,39,-22,-2032
0.685425,48,-22,-2018
0.695102,41,-34,-2020
0.704748,26,-36,-2036
0.714424,39,-27,-2040
0.724070,41,-25,-2045
0.734070,42,-31,-2048
0.743716,53,-22,-2036
0.753393,42,-13,-2016
0.763039,46,-15,-2022
0.772715,55,-22,-2048
0.782715,37,-25,-2056
0.792361,37,-31,-2034
0.802007,37,-29,-2022
0.811684,28,-27,-2038
0.821330,42,-31,-2045
0.831330,53,-34,-2027
0.840976,42,-31,-2023
0.850652,42,-20,-2038
0.860298,44,-29,-2031
0.869975,35,-31,-2025
0.879975,44,-15,-2036
0.889621,51,-20,-2040
0.899267,46,-27,-2031
0.908943,35,-22,-2025
0.918589,32,-15,-2032
0.928589,33,-15,-2040
0.938235,35,-24,-2025
0.947912,35,-25,-2015
0.957558,30,-29,-2029
0.967234,32,-33,-2036
0.977234,35,-29,-2022
0.986880,33,-31,-2025
0.996526,35,-25,-2041
1.6203,37,-22,-2038
1.15849,41,-31,-2023
1.25849,44,-33,-2016
1.35495,44,-31,-2023
1.45171,44,-29,-2034
1.54817,51,-33,-2036
1.64494,53,-29,-2029
1.74494,41,-24,-2032
1.84140,44,-24,-2040
1.93786,35,-24,-2023
1.103462,24,-24,-2018
1.113108,32,-24,-2025
1.123108,30,-18,-2032
1.132754,37,-24,-2036
1.142431,42,-25,-2022
1.152077,33,-11,-2027
1.161753,30,-18,-2040
1.171753,30,-34,-2027
1.181399,42,-33,-2031
1.191045,44,-25,-2047
1.200722,48,-9,-2038
1.210368,64,-59,-2020
1.220368,24,26,-2023
1.230014,7,235,-2040
1.239690,78,74,-2043
1.249336,78,-140,-2036
1.259013,41,-159,-2038
1.269013,58,-177,-2041
1.278659,51,-70,-2029
1.288305,33,-15,-2023
1.297981,32,-38,-2038
1.307627,35,-15,-2045
1.317627,41,-18,-2040
1.327273,33,-31,-2027
1.336950,30,-27,-2023
1.346596,35,-25,-2038
1.356272,37,-31,-2047
1.366272,33,-29,-2038
1.375918,35,-20,-2025
1.385564,46,-18,-2034
1.395241,35,-29,-2036
1.404887,26,-31,-2029
1.414887,44,-20,-2036
1.424563,41,-29,-2031
1.434209,33,-36,-2025
1.443855,44,-29,-2018
1.453532,48,-27,-2020
1.463532,49,-27,-2040
1.473178,39,-29,-2029
1.482854,30,-25,-2027
1.492500,48,-27,-2040
1.502146,49,-29,-2043
1.512146,37,-22,-2050
1.521823,39,-27,-2043
1.531469,26,-33,-2029
1.541145,21,-27,-2031
1.550791,46,-36,-2038
1.560791,39,-29,-2040
1.570437,37,-29,-2043
1.580114,55,-61,-2040
1.589422,35,-92,-2038
1.599495,37,-106,-2043
1.609141,35,0,-2041
1.619141,14,105,-2032
1.628787,32,19,-2022
