;Title, http://www.gcdataconcepts.com, x16-1d, ADXL345
;Version, 1877, Build date, Jan  8 2020,  SN:CCDC4016ECDDBE3
;Start_time, 2022-11-15, 18:24:25.411
;Uptime, 4,sec,  Vbat, 1218, mv, EOL, 1100, mv
;SampleRate, 50,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;Time, Ax, Ay, Az
0.327138,39,-15,-2016
0.347138,41,-20,-2015
0.366641,41,-40,-2031
0.386175,39,-47,-2027
0.405678,32,-29,-2016
0.425212,30,-11,-2023
0.444715,37,-22,-2029
0.464248,39,-34,-2031
0.483782,33,-25,-2034
0.503285,32,-22,-2032
0.523285,33,-38,-2029
0.542819,41,-42,-2025
0.562322,42,-36,-2022
0.581856,37,-33,-2023
0.601390,28,-25,-2031
0.620893,26,-25,-2034
0.640426,30,-33,-2032
0.659960,35,-36,-2023
0.679463,39,-31,-2013
0.699463,37,-31,-2022
0.718997,33,-24,-2040
0.738531,35,-25,-2036
0.758034,42,-40,-2023
0.777568,35,-29,-2027
0.797071,26,-18,-2029
0.816604,46,-43,-2023
0.836138,51,-43,-2040
0.855641,42,-22,-2038
0.875641,37,-24,-2023
0.895175,28,-15,-2031
0.914678,26,0,-2045
0.934212,37,-6,-2041
0.953746,37,1,-2034
0.973249,30,28,-2041
0.992782,30,33,-2052
1.12316,33,49,-2059
1.31819,37,82,-2048
1.51819,33,114,-2061
1.71353,37,160,-2082
1.90856,42,217,-2068
1.110390,41,294,-2025
1.129924,44,376,-1948
1.149457,41,424,-1913
1.168960,30,469,-1972
1.188494,41,492,-2018
1.208028,32,539,-2023
1.228028,49,610,-2022
1.247561,67,623,-1936
1.267065,-22,812,-1797
1.286598,-13,998,-1715
1.306132,39,992,-1715
1.325666,1,1092,-1700
1.345169,26,1190,-1641
1.364703,3,1210,-1672
1.384236,42,1367,-1629
1.404236,105,1135,-1973
1.423739,-77,1110,-1890
1.443273,173,1728,280
1.462807,533,1230,1667
1.482310,160,1008,1239
1.501844,-93,1817,1010
1.521377,-9,2051,382
1.540911,-31,2189,-27
1.560414,-17,2110,353
1.580414,-2,1978,366
1.599948,0,2076,162
1.619482,-2,2006,273
1.639015,-2,1992,310
1.658519,10,2012,273
1.678052,-6,1999,312
1.697586,-4,2008,291
1.717089,7,1996,278
1.736623,0,2006,301
1.756623,1,2008,307
1.776156,0,1989,292
1.795660,-8,2003,285
1.815193,-6,2008,298
1.834727,-2,1997,296
1.854230,0,2003,289
1.873764,0,2006,298
1.893298,-2,2008,298
1.912831,0,2012,296
1.932831,0,2003,299
1.952334,0,2005,299
1.971868,1,2012,299
1.991402,0,2003,299
2.10905,-2,2005,299
2.30439,-4,2008,298
2.49972,-2,2003,294
2.69476,0,2008,292
2.89009,-2,2012,292
2.109009,0,2003,294
2.128543,-2,2005,298
2.148077,1,2010,294
2.167580,3,2003,291
2.187113,1,2001,298
2.206617,0,2006,303
2.226150,-6,2003,301
2.245684,-2,2006,305
2.265218,1,2012,305
2.285218,0,2006,301
2.304721,0,2006,303
2.324255,-2,2006,303
2.343788,-2,2005,301
2.363322,1,2008,298
2.382856,1,2008,296
2.402359,-2,2003,299
2.421893,-2,2005,299
2.441426,0,2005,299
2.461426,-2,2003,298
2.480929,-2,2003,298
2.500463,0,2006,303
2.519997,-2,2008,296
2.539530,0,2008,291
2.559034,1,2006,294
2.579389,0,2006,296
2.598160,-2,2008,298
2.617693,0,2005,301
2.637196,-2,2005,301
2.657196,-2,2010,296
2.676730,0,2005,301
2.696264,0,2003,308
2.715798,-2,2001,296
2.735331,0,2003,289
2.754834,0,2008,296
2.774368,-4,1994,298
2.793902,-2,1990,292
2.813435,-2,2006,292
2.833435,1,2010,298
2.852939,3,2010,299
2.872472,-2,2008,301
2.892006,0,2005,303
2.911540,1,2001,298
2.931043,-4,2001,291
2.950577,-4,2006,298
2.970110,0,2008,301
2.989644,1,2006,294
3.9644,0,2010,294
3.29178,-2,2008,303
3.48681,-2,2003,301
3.68215,-2,2006,292
3.87748,0,2008,287
3.107282,-4,2005,287
3.126785,-6,2005,296
3.146319,-4,2005,308
3.165852,-2,2008,301
3.185852,1,2014,298
3.205386,0,2012,305
3.224920,-2,2008,301
3.244423,0,2006,301
3.263957,-2,2010,298
3.283490,-2,2012,294
3.303024,1,2006,301
3.322558,1,2003,301
3.342061,-2,2006,296
3.362061,-2,2010,305
3.381595,3,2008,301
3.401128,1,2008,287
3.420632,-2,2010,289
3.440165,-2,2001,298
3.459699,0,2001,296
3.479202,0,2005,292
3.498736,-2,2003,294
3.518269,0,2001,298
3.538269,1,2003,298
3.557803,1,2001,299
3.577337,0,2001,294
3.596840,3,2005,291
3.616374,1,2012,299
3.635877,-2,2008,296
3.655411,-2,2006,291
3.674944,1,2010,294
3.694478,0,2003,303
3.714478,-2,2005,305
3.733981,0,2012,298
3.753515,-4,2005,296
3.773049,-4,2003,298
3.792552,1,2008,298
3.812085,0,2005,296
3.831619,-2,2001,303
3.851153,-2,2010,305
3.870656,1,2010,298
3.890656,3,2001,299
