;Title, http://www.gcdataconcepts.com, x16-1d, ADXL345
;Version, 1877, Build date, Jan  8 2020,  SN:CCDC4016ECDDBE3
;Start_time, 2022-11-16, 00:28:46.448
;Uptime, 4,sec,  Vbat, 1344, mv, EOL, 1100, mv
;SampleRate, 100,Hz
;Deadband, 0, counts
;DeadbandTimeout, 15.000,sec
;Time, Ax, Ay, Az
0.160982,312,-2506,-338
0.170720,74,-2095,-367
0.180519,44,-1957,-197
0.190256,78,-2257,162
0.200256,41,-2059,262
0.210055,-2,-1743,232
0.219823,291,-1668,435
0.229560,564,-1793,851
0.239328,62,-1738,1076
0.249328,-233,-1431,1023
0.259127,241,-1274,912
0.268895,169,-1268,1039
0.278663,-175,-1432,1306
0.288431,30,-1590,1637
0.298431,260,-1211,1523
0.308199,657,-674,1121
0.317967,710,-490,1230
0.327735,-52,-404,1396
0.337503,-254,-322,1739
0.347503,221,-234,1835
0.357272,501,-84,1340
0.367040,403,57,1360
0.376777,141,285,1549
0.386545,307,487,1564
0.396545,164,812,1535
0.406313,-240,1306,1107
0.416081,19,1265,1392
0.425849,146,973,1546
0.435617,439,851,758
0.445617,805,644,1185
0.455386,78,921,1440
0.465154,-458,1665,569
0.474922,-129,2005,689
0.484690,-113,1956,994
0.494690,-74,1812,530
0.504458,467,1599,251
0.514226,485,1458,292
0.523963,-163,1594,248
0.533732,-615,1992,-36
0.543732,-656,2078,-354
0.553437,-118,1840,-488
0.563297,473,1885,-434
0.573065,217,1837,-377
0.582833,-250,1655,-772
0.592601,-261,1756,-1457
0.602601,-263,1701,-1108
0.612339,-292,1583,-770
0.622107,35,1403,-2286
0.631875,366,1133,-2015
0.641643,289,1419,-611
0.651643,64,1449,-1652
0.661411,-72,926,-2488
0.671179,-77,678,-2431
0.680947,-33,567,-2447
0.690715,-84,623,-2404
0.700715,58,553,-2420
0.710483,221,160,-2277
0.720251,137,-20,-2302
0.730019,80,-108,-2541
0.739787,-50,-345,-2384
0.749787,-34,-725,-2291
0.759555,164,-1015,-2745
0.769324,194,-1066,-2709
0.779092,82,-993,-2218
0.788829,-102,-1011,-2313
0.798829,10,-1152,-2297
0.808597,258,-1091,-1945
0.818365,271,-1099,-1720
0.828133,130,-1416,-1545
0.837901,-138,-1779,-1440
0.847901,-193,-1984,-1363
0.857669,112,-2106,-1434
0.867438,523,-2341,-915
0.877206,505,-2288,-825
0.886974,-11,-2000,-1275
0.896974,-249,-2000,-836
0.906742,1,-2025,-581
0.916510,303,-2207,-399
0.926278,416,-2254,-61
0.936046,316,-1916,-115
0.946046,53,-2081,-9
0.955814,-140,-2186,266
0.965582,-56,-1824,264
0.975350,196,-1893,298
0.985118,280,-1972,646
0.995118,330,-1624,799
1.004856,333,-1611,807
1.014624,-49,-1838,873
1.024392,-170,-1590,894
1.034160,123,-1340,1067
1.044160,367,-1393,1242
1.053928,614,-1381,1333
1.063696,453,-1416,1458
1.073464,-117,-1445,1515
1.083232,-425,-1259,1519
1.093232,-40,-975,1453
1.102970,646,-874,1489
1.112738,892,-836,1531
1.122506,726,-634,1269
1.132274,308,-650,1590
1.142274,-220,-733,2083
1.152042,-365,-458,1810
1.161810,183,-215,1630
1.171578,755,-133,1731
1.181346,803,-13,1730
1.191346,566,119,1519
1.201114,132,160,1605
1.210882,-279,183,1926
1.220650,-61,407,1830
1.230419,623,617,1692
1.240419,910,758,1469
1.250187,635,857,1278
1.259955,-9,789,1646
1.269723,-481,832,1856
1.279460,-127,1019,1592
1.289460,574,1123,1349
1.299259,823,1164,1130
1.308996,517,1108,1217
1.318764,-129,1112,1498
1.328533,-409,1380,1180
1.338533,62,1594,937
1.348301,530,1621,1071
1.358069,580,1606,787
1.367837,203,1526,776
1.377605,-356,1576,908
1.387605,-279,1756,458
1.397373,285,1808,378
1.407141,387,1826,544
1.416909,-38,1921,296
1.426677,-404,1981,71
1.436677,-449,1897,19
1.446445,-70,1773,-86
1.456213,494,1833,-272
1.465981,467,1955,-359
1.475749,-211,2001,-454
1.485749,-720,1933,-670
1.495517,-456,1612,-929
1.505285,151,1528,-1016
1.515054,285,1787,-931
1.524822,55,1778,-833
1.534822,-175,1740,-1077
1.544590,-202,1328,-2279
1.553989,-8,807,-1984
1.564154,82,1431,-891
1.573922,255,1567,-1732
1.583690,339,849,-2125
1.593690,-8,873,-1997
1.603458,-154,844,-2268
1.613226,28,549,-2431
1.622994,24,578,-2457
1.632762,37,367,-2204
1.642762,192,5,-2125
1.652530,149,-15,-2448
1.662298,14,-31,-2522
1.672066,-34,-390,-2241
1.681835,30,-738,-2418
1.691835,233,-709,-2438
1.701603,346,-981,-2261
1.711033,132,-1177,-2466
1.721167,-167,-977,-2325
1.730935,-183,-1075,-2198
1.740703,74,-916,-2127
1.750703,314,-818,-1761
1.760471,296,-1200,-1461
1.770239,67,-1590,-1334
1.780007,-204,-1818,-1497
1.789775,-95,-1934,-1570
1.799775,408,-2234,-1152
1.809543,612,-2382,-840
1.819311,255,-2111,-1152
1.829079,-125,-1891,-1141
1.838847,-154,-1970,-772
1.848847,142,-2050,-600
1.858616,474,-2143,-372
1.868384,348,-2329,-195
1.878152,-29,-2056,-179
1.887920,-33,-1763,-174
1.897920,173,-2097,130
1.907688,205,-2207,364
1.917456,230,-1875,249
1.927224,196,-1888,362
1.936992,-17,-1995,692
1.946992,-50,-1711,692
1.956760,253,-1515,655
1.966528,476,-1704,864
1.976296,349,-1784,915
1.986064,146,-1575,967
1.996064,-45,-1468,1196
2.005832,-15,-1554,1396
2.015600,441,-1488,1439
2.025368,680,-1229,1326
2.035137,364,-1307,1373
2.045137,-81,-1404,1449
2.054905,-58,-1161,1455
2.064673,401,-1006,1512
2.074441,676,-822,1373
2.084209,665,-797,1328
2.094209,467,-1004,1648
2.103977,233,-918,1828
2.113745,96,-613,1737
2.123513,-122,-372,1764
2.133281,149,-265,1921
2.143281,833,-199,1781
2.153049,767,-65,1415
2.162817,273,-29,1581
2.172585,160,-104,2065
2.182353,323,-34,2046
2.192353,378,203,1519
2.202121,376,360,1515
2.211889,532,478,1862
2.221658,530,699,1624
2.231426,266,792,1576
2.241426,69,789,1728
2.251194,191,764,1726
2.260962,307,780,1594
2.270730,257,932,1299
2.280498,433,1014,1403
2.290498,542,1071,1594
2.300266,285,1237,1430
2.310034,78,1364,1214
2.319802,76,1342,1219
2.329570,239,1287,1256
2.339570,439,1369,1142
2.349338,282,1562,967
2.359106,7,1646,844
2.368874,-93,1605,1003
2.378642,-2,1685,860
2.388642,407,1746,417
2.398410,441,1708,617
2.408179,-92,1846,660
2.417947,-286,1946,158
2.427715,-131,1876,226
2.437715,-74,1896,382
2.447483,-92,1930,-58
2.457251,44,1874,-218
2.467019,324,1896,-111
2.476787,242,2012,-317
2.486787,-317,2001,-440
2.496555,-641,1780,-509
2.506323,-250,1639,-824
2.516091,269,1771,-929
2.525859,160,1931,-731
2.535859,-142,1844,-831
2.545627,-143,1499,-1325
2.555027,-161,1464,-1227
2.565191,-127,1564,-1607
2.574960,73,1005,-2177
2.584728,182,1099,-1195
2.594728,160,1808,-1424
2.604496,121,1265,-2041
2.614264,30,612,-1804
2.624032,-15,799,-2486
2.633800,92,737,-2604
2.643800,91,512,-1945
2.653568,-20,498,-1902
2.663336,14,392,-2338
2.673104,108,123,-2482
2.682872,208,-197,-2539
2.692872,162,-234,-2411
2.702640,-74,-261,-1986
2.712408,-27,-533,-2279
2.722176,224,-620,-2552
2.731944,264,-893,-2202
2.741944,194,-1129,-2063
2.751712,83,-961,-2243
2.761481,-95,-1111,-2225
2.771249,-150,-1075,-1982
2.781017,7,-856,-1929
2.791017,189,-1040,-1754
2.800785,307,-1168,-1475
2.810553,224,-1491,-1275
2.820321,-102,-1888,-1411
2.830089,-58,-2032,-1581
2.840089,310,-2325,-1215
2.849857,348,-2125,-1004
2.859625,255,-1636,-1191
2.869393,194,-1879,-1108
2.879161,71,-2052,-875
2.889161,39,-1902,-813
2.898929,48,-2097,-631
2.908697,139,-2113,-400
2.918465,283,-1816,-384
2.928233,271,-2159,-313
2.938233,96,-2347,-68
2.948002,-45,-1734,-99
2.957770,105,-1895,-33
2.967538,224,-2365,282
2.977306,223,-1956,230
2.987306,380,-1715,158
2.997074,351,-1945,399
3.006842,121,-2009,657
3.016610,-4,-1915,601
3.026378,-31,-1845,423
3.036378,42,-1804,649
3.046146,151,-1724,796
3.055914,314,-1661,744
3.065682,523,-1724,905
3.075450,519,-1834,996
3.085450,205,-1799,1060
3.095218,-77,-1695,1185
3.104986,5,-1656,1223
3.114754,310,-1599,1174
3.124523,519,-1538,1096
3.134523,508,-1509,1117
3.144291,417,-1466,1183
3.154059,337,-1441,1219
3.163827,224,-1418,1296
3.173595,191,-1340,1381
3.183595,224,-1286,1426
3.193363,194,-1263,1485
3.203131,189,-1254,1558
3.212899,298,-1259,1567
3.222667,446,-1204,1487
3.232667,564,-1147,1449
3.242435,524,-1120,1474
3.252203,383,-1100,1521
3.261971,314,-1074,1598
3.271739,287,-966,1621
3.281739,358,-972,1690
3.291507,437,-1020,1753
3.301275,430,-883,1692
3.311044,448,-777,1703
3.320812,453,-718,1755
3.330812,448,-592,1705
3.340580,417,-563,1735
3.350348,308,-656,1821
3.360116,255,-666,1815
3.369884,314,-620,1830
3.379884,349,-588,1851
3.389621,407,-531,1837
3.399389,496,-504,1830
3.409158,505,-481,1840
3.418926,467,-467,1853
3.428926,439,-493,1869
3.438694,430,-431,1874
3.448462,448,-334,1844
3.458230,457,-292,1837
3.467998,428,-236,1872
3.477998,383,-231,1883
3.487766,364,-220,1910
3.497534,394,-122,1917
3.507302,451,-43,1876
3.517070,498,-22,1885
3.527070,501,3,1887
3.536838,457,10,1876
3.546606,407,-4,1905
3.556374,421,-2,1912
3.566142,446,23,1887
3.576142,435,67,1887
3.585910,432,141,1896
3.595679,416,224,1856
3.605447,394,312,1833
3.615215,410,391,1847
3.625215,471,391,1844
3.634983,521,326,1846
3.644751,499,305,1846
3.654519,480,324,1837
3.664287,480,339,1853
3.674287,419,373,1881
3.684055,374,458,1862
3.693823,385,569,1773
3.703591,428,655,1756
3.713359,460,683,1792
3.723359,430,665,1780
3.733127,378,642,1769
3.742895,353,644,1798
3.752633,376,698,1792
3.762401,419,789,1714
3.772401,446,882,1655
3.782169,471,928,1660
3.791937,476,871,1653
3.801705,423,817,1656
3.811473,328,853,1719
3.821473,257,926,1717
3.831241,326,1028,1623
3.841009,480,1103,1581
3.850777,467,1094,1574
3.860545,310,1062,1540
3.870545,274,1060,1542
3.880314,398,1087,1531
3.890082,483,1162,1464
3.899850,401,1264,1428
3.909618,223,1330,1435
3.919618,142,1330,1442
3.929386,244,1285,1440
3.939154,410,1290,1373
3.948922,457,1364,1258
3.958690,362,1440,1235
3.968690,255,1501,1260
3.978458,201,1537,1230
3.988226,182,1551,1164
3.997994,158,1580,1101
4.007762,196,1592,1053
4.017762,333,1571,1023
4.027500,355,1592,982
4.037268,173,1701,914
4.047036,114,1794,848
4.056804,237,1812,799
4.066804,301,1756,742
4.076572,208,1678,737
4.086340,-15,1731,737
4.096108,-54,1887,578
4.105876,123,1962,487
4.115876,128,1933,501
4.125644,-4,1878,430
4.135412,-61,1872,369
4.145180,-15,1926,258
4.154949,137,1978,99
4.164949,219,1985,85
4.174717,82,1947,76
4.184485,49,1921,-124
4.194253,108,1949,-254
4.204021,-99,2003,-172
4.214021,-493,2014,-195
4.223789,-611,1881,-470
4.233526,-45,1742,-716
4.243294,469,1924,-499
4.253063,314,2046,-347
4.263063,5,1778,-791
4.272831,-325,1678,-988
4.282599,-513,1753,-866
4.292367,-197,1685,-1134
4.302135,149,1690,-1149
4.312135,55,1690,-1006
4.321903,-183,1556,-1125
4.331671,-186,1526,-1115
4.341439,39,1176,-2300
4.351207,221,849,-2223
4.361207,117,1487,-665
4.370975,14,1712,-1416
4.380743,114,994,-2123
4.390511,41,689,-2002
4.400279,-56,776,-2268
4.410279,57,751,-2197
4.420047,107,696,-1909
4.429815,35,699,-1832
4.439584,-6,555,-2041
4.449352,91,273,-2359
4.459352,167,51,-2423
4.469120,98,-102,-2232
4.478888,60,-104,-2218
4.488656,0,-75,-2152
4.498424,-34,-274,-2134
4.508424,103,-517,-2406
4.518192,266,-625,-2300
4.527960,285,-770,-2007
4.537728,82,-736,-1704
4.547128,-129,-761,-1984
4.557292,-154,-1177,-2747
4.567292,98,-1175,-2075
4.577060,241,-736,-1522
4.586828,157,-840,-1891
4.596597,166,-1193,-1481
4.606365,44,-1266,-1470
4.616365,-92,-1397,-2047
4.626133,108,-1581,-1563
4.635901,228,-1643,-1022
4.645669,105,-1843,-1438
4.655437,198,-2098,-1540
4.665437,262,-1904,-1252
4.675205,117,-1695,-1229
4.684973,87,-1731,-1147
4.694741,119,-1791,-1049
4.704509,121,-2004,-965
4.714509,137,-2061,-836
4.724277,124,-1938,-761
4.734045,101,-1932,-670
4.743813,142,-1993,-577
4.753581,223,-2052,-458
4.763581,246,-2056,-361
4.773349,141,-2040,-306
4.783117,12,-2048,-254
4.792886,48,-2065,-143
4.802654,128,-2052,-29
4.812654,196,-2002,-11
4.822422,328,-2006,66
4.832190,301,-1997,178
4.841958,78,-1982,233
4.851726,-45,-2025,271
4.861726,41,-1984,294
4.871463,230,-1929,399
4.881232,326,-1915,458
4.891000,224,-1923,408
4.900768,64,-1993,483
4.910768,19,-1956,549
4.920536,130,-1811,544
4.930304,251,-1782,598
4.940072,251,-1895,657
4.949840,189,-2004,708
4.959840,139,-1965,769
4.969608,155,-1843,794
4.979376,239,-1816,783
4.989144,283,-1879,805
4.998912,251,-1873,844
5.008912,214,-1804,826
5.018680,221,-1788,801
5.028448,242,-1811,842
5.038216,260,-1802,857
5.047984,264,-1745,835
5.057984,248,-1731,867
5.067753,233,-1757,896
5.077521,244,-1741,907
5.087289,267,-1738,939
5.097057,280,-1759,949
5.107057,278,-1781,962
5.116825,253,-1761,992
5.126593,230,-1724,971
5.136361,258,-1732,937
5.146129,287,-1732,940
5.156129,285,-1724,944
5.165897,276,-1741,944
5.175665,269,-1741,940
5.185433,264,-1725,946
5.195201,266,-1738,946
5.205201,271,-1754,932
5.214969,264,-1754,935
5.224707,248,-1756,946
5.234475,239,-1766,928
5.244243,255,-1768,889
5.254243,276,-1761,867
5.264011,258,-1782,867
5.273779,230,-1807,862
5.283547,237,-1799,842
5.293315,251,-1790,833
5.303315,248,-1807,837
5.313083,248,-1829,805
5.322851,249,-1790,753
5.332619,253,-1790,742
5.342388,267,-1909,748
5.352388,262,-1943,714
5.362156,228,-1863,667
5.371924,219,-1865,633
5.381692,235,-1916,603
5.391460,214,-1941,578
5.401460,183,-1936,548
5.411228,205,-1927,494
5.420996,207,-1966,462
5.430764,173,-2006,439
5.440502,173,-2000,376
5.450502,191,-1990,339
5.460270,166,-1997,312
5.470038,132,-2023,260
5.479806,144,-2057,207
5.489574,183,-2041,146
5.499574,266,-1979,85
5.509342,269,-1977,41
5.519110,76,-2075,8
5.528878,-59,-2125,-70
5.538646,69,-2047,-140
5.548646,289,-1966,-156
5.558045,296,-1990,-243
5.568210,110,-2168,-308
5.577978,7,-2268,-302
5.587746,-31,-2013,-395
5.597514,19,-1770,-499
5.607514,226,-1982,-536
5.617283,285,-2198,-492
5.627051,148,-1932,-666
