;Title, http://www.gcdataconcepts.com, x16-1d, ADXL345
;Version, 1877, Build date, Jan  8 2020,  SN:CCDC4016ECDDBE3
;Start_time, 2022-11-16, 22:35:31.453
;Uptime, 4,sec,  Vbat, 1422, mv, EOL, 1100, mv
;SampleRate, 100,Hz
;Deadband, 0, counts
;DeadbandTimeout, 15.000,sec
;Time, Ax, Ay, Az
0.160952,41,-2427,-1350
0.170721,-22,-2611,-1115
0.180519,103,-2682,-933
0.190287,-25,-2781,-818
0.200287,-143,-2945,-481
0.210086,-6,-2925,-63
0.219854,182,-2786,48
0.229652,189,-2847,74
0.239421,37,-2764,298
0.249421,-2,-2641,687
0.259219,135,-2564,1082
0.268987,239,-2341,1139
0.278786,255,-2148,1032
0.288554,164,-1902,1194
0.298554,-9,-1932,1624
0.308352,112,-1900,1755
0.318120,360,-1183,1471
0.327919,253,-863,1628
0.337687,33,-1036,1972
0.347687,26,-758,1876
0.357486,144,-379,1801
0.367254,228,-131,1690
0.377052,319,-72,1594
0.386820,374,-59,1683
0.396820,232,480,1601
0.406619,-115,832,1681
0.416387,-240,651,1746
0.426186,155,640,1415
0.435954,466,812,1144
0.445954,196,1201,1026
0.455752,-183,1437,1099
0.465551,-72,1155,1171
0.475319,339,976,1028
0.485118,360,1531,737
0.495118,-159,2094,421
0.504886,-263,1398,599
0.514684,357,933,657
0.524452,358,1810,214
0.534251,-243,2167,160
0.544251,-186,1724,203
0.553681,180,1481,-18
0.563846,158,1456,-124
0.573614,-40,1778,-293
0.583412,-127,2008,-500
0.593180,14,1535,-399
0.603180,126,1319,-463
0.612979,-33,1715,-852
0.622747,-138,1724,-931
0.632546,-149,1414,-800
0.642314,-256,1462,-995
0.652314,-129,1458,-1209
0.662082,164,1115,-1143
0.671880,142,1123,-1270
0.681648,-124,1285,-1552
0.691447,-284,971,-1499
0.701447,-140,751,-1500
0.711215,14,778,-1750
0.721014,-81,649,-1750
0.730782,-175,512,-1725
0.740580,-174,380,-1900
0.750580,-81,208,-1973
0.760348,7,62,-1898
0.770147,-81,-129,-1982
0.779915,-167,-270,-2084
0.789713,-97,-424,-1932
0.799713,-43,-731,-2207
0.809482,-261,-849,-2359
0.819280,-202,-1011,-1768
0.829048,533,-624,-1113
0.838847,228,-1288,-1345
0.848847,-540,-2427,-2507
0.858615,-229,-1193,-2365
0.868413,-568,-1684,-1145
0.878181,-393,-2511,-1052
0.887980,485,-1841,-1659
0.897980,142,-2304,-1593
0.907748,-186,-2513,-1031
0.917547,-106,-2457,-686
0.927315,24,-2548,-579
0.937083,110,-2698,-572
0.947083,-40,-2743,-450
0.956881,-8,-2563,-81
0.966650,264,-2647,255
0.976448,205,-2700,285
0.986216,-34,-2500,310
0.996216,32,-2434,710
1.6015,148,-2448,1083
1.15783,166,-2182,1078
1.25581,230,-2090,1092
1.35349,224,-2006,1219
1.45349,14,-1656,1385
1.55148,-138,-1832,1762
1.64916,130,-1713,1723
1.74715,544,-872,1340
1.84483,505,-620,1526
1.94483,114,-897,1921
1.104281,-161,-841,2008
1.114049,-97,-461,1919
1.123848,199,-234,1837
1.133616,271,62,1712
1.143616,255,182,1674
1.153415,360,58,1753
1.163183,267,482,1653
1.172981,12,837,1646
1.182749,-204,740,1760
1.192749,-129,742,1631
1.202548,291,807,1385
1.212316,466,1040,1214
1.222115,91,1471,1155
1.231883,-170,1308,1292
1.241883,119,964,1298
1.251681,367,1389,939
1.261449,255,1656,769
1.271248,12,1576,844
1.281046,-299,1699,840
1.291046,-377,1637,807
1.300815,89,1567,637
1.310613,707,1594,385
1.320381,785,1567,285
1.330180,114,1953,135
1.340180,-563,2240,39
1.349948,-583,1714,312
1.359746,-172,1519,328
1.369515,214,2042,-92
1.379313,353,1967,-284
1.389313,339,1514,-347
1.399081,157,1696,-520
1.408880,-156,1962,-520
1.418648,-311,1830,-350
1.428446,-188,1726,-400
1.438446,44,1744,-715
1.448214,196,1635,-899
1.458013,146,1515,-904
1.467812,-193,1631,-936
1.477580,-468,1723,-1009
1.487580,-300,1510,-1077
1.497378,162,1239,-1108
1.507146,403,1235,-1225
1.516945,41,1440,-1441
1.526713,-459,1362,-1474
1.536713,-465,1035,-1390
1.546512,-95,1015,-1550
1.556280,278,1010,-1656
1.566078,282,733,-1541
1.575846,-231,682,-1731
1.585846,-634,719,-1961
1.595645,-388,562,-1875
1.605413,174,410,-1788
1.615212,353,251,-1795
1.624980,-58,117,-1932
1.634980,-490,24,-2023
1.644778,-392,-124,-2048
1.654577,-33,-300,-2027
1.664345,137,-392,-1863
1.674143,-38,-447,-1897
1.684143,-325,-1113,-2304
1.693911,162,-950,-2306
1.703372,478,-240,-1456
1.713199,-467,-1675,-1372
1.723363,-711,-1890,-2048
1.733131,-227,-818,-1802
1.742930,-467,-1838,-1497
1.752930,-454,-2457,-1841
1.762698,214,-1649,-1781
1.772497,305,-1516,-1120
1.782265,28,-1847,-641
1.792063,291,-2293,-936
1.802063,349,-2893,-1202
1.811831,12,-2464,-784
1.821630,-354,-2359,-542
1.831429,-377,-2754,-363
1.841197,166,-2470,-47
1.851197,449,-2372,-84
1.860965,212,-2552,-49
1.870763,-20,-2539,301
1.880531,-108,-2464,617
1.890330,32,-2345,873
1.900330,287,-2273,953
1.910098,244,-2190,792
1.919897,62,-1993,914
1.929665,48,-2059,1415
1.939463,130,-1907,1526
1.949463,171,-1500,1353
1.959231,180,-1615,1556
1.969030,262,-1413,1598
1.978798,385,-904,1455
1.988597,364,-888,1674
1.998597,189,-791,1821
2.8365,48,-715,1864
2.18163,-97,-545,1930
2.27931,-142,-275,1926
2.37730,178,-368,1921
2.47730,449,-4,1705
2.57498,332,453,1598
2.67296,260,164,1765
2.77065,174,171,1794
2.86863,-8,612,1765
2.96863,87,744,1765
2.106662,183,857,1656
2.116430,121,905,1539
2.126228,139,844,1485
2.135996,207,1008,1405
2.145996,194,1217,1344
2.155795,144,1271,1342
2.165563,116,1287,1285
2.175362,14,1389,1217
2.185130,41,1439,1162
2.195130,289,1471,1033
2.204928,332,1580,903
2.214696,157,1558,899
2.224495,30,1581,908
2.234294,-38,1751,823
2.244294,-83,1823,767
2.254062,-77,1817,699
2.263860,126,1740,583
2.273628,516,1601,492
2.283427,685,1603,416
2.293427,262,2028,248
2.303195,-400,2353,176
2.312994,-608,1819,460
2.322762,-170,1471,544
2.332560,444,1971,141
2.342560,549,2190,-127
2.352328,178,1912,-134
2.362127,-118,1799,-134
2.371895,-170,1903,-88
2.381693,-81,1983,-40
2.391693,-8,2031,-115
2.401462,32,2021,-299
2.411260,155,1803,-456
2.421028,176,1664,-500
2.430827,28,1903,-509
2.440827,-61,2085,-524
2.450595,-47,1872,-534
2.460393,8,1681,-638
2.470161,39,1739,-788
2.479960,16,1792,-802
2.489960,10,1792,-775
2.499759,66,1767,-847
2.509527,-63,1698,-963
2.519325,-325,1642,-1018
2.529093,-238,1624,-1009
2.539093,19,1655,-1104
2.549500,180,1542,-1206
2.558719,191,1335,-1154
2.568487,-183,1469,-1236
2.578285,-384,1635,-1422
2.588053,-136,1351,-1357
2.598053,10,1135,-1291
2.607852,-22,1290,-1497
2.617620,-63,1287,-1607
2.627419,-43,1058,-1522
2.637217,3,982,-1536
2.647217,-72,1015,-1654
2.656985,-209,990,-1727
2.666784,-233,848,-1722
2.676552,-188,687,-1747
2.686350,-127,658,-1840
2.696350,-8,598,-1843
2.706119,80,448,-1757
2.715917,8,382,-1807
2.725685,-208,298,-2031
2.735484,-325,182,-2020
2.745484,-177,89,-1832
2.755282,30,-45,-1975
2.765050,8,-140,-2040
2.774849,-202,-240,-1877
2.784617,-342,-425,-2034
2.794617,-231,-547,-2097
2.804416,48,-615,-1848
2.814184,164,-713,-1729
2.823982,-8,-940,-1840
2.833750,-267,-1109,-2022
2.843750,-454,-1159,-1931
2.853549,-308,-1520,-1790
2.863317,17,-1468,-1645
2.873116,191,-1263,-1372
2.882884,176,-1791,-1491
2.892884,-156,-1991,-1625
2.902682,-336,-1984,-1407
2.912450,-259,-1997,-1133
2.922249,-2,-1982,-984
2.932017,219,-2425,-984
2.942017,-86,-2484,-783
2.951816,-217,-2277,-624
2.961584,-18,-2373,-608
2.971382,-6,-2400,-379
2.981150,123,-2273,-74
2.991150,364,-2341,24
3.949,151,-2531,-6
3.10717,-124,-2425,149
3.20515,46,-2298,537
3.30284,198,-2384,840
3.40284,98,-2320,765
3.50082,10,-2093,682
3.59881,78,-2123,1014
3.69649,182,-2025,1267
3.79447,162,-1756,1231
3.89447,98,-1841,1358
3.99215,49,-1686,1428
3.109014,44,-1481,1512
3.118782,214,-1445,1715
3.128581,469,-924,1539
3.138581,430,-675,1548
3.148349,-92,-924,1946
3.158147,-363,-1022,2058
3.167946,99,-838,1931
3.177714,551,-224,1685
3.187714,442,210,1573
3.197513,48,-213,1926
3.207281,-152,-415,2112
3.217079,-49,196,1839
3.226847,235,442,1746
3.236847,487,396,1730
3.246646,399,580,1621
3.256414,126,566,1730
3.266213,-22,646,1765
3.275981,-86,926,1669
3.285981,-86,955,1674
3.295779,169,923,1526
3.305547,455,1037,1340
3.315346,330,1207,1344
3.325144,28,1312,1385
3.335144,-77,1271,1406
3.344912,-40,1323,1308
3.354711,-20,1508,1174
3.364479,116,1514,1115
3.374278,410,1428,1019
3.384278,430,1578,899
3.394046,10,1796,860
3.403844,-395,1669,980
3.413612,-204,1496,1010
3.423411,430,1646,773
3.433411,526,1919,569
3.443179,-40,2037,566
3.452978,-313,1801,671
3.462746,-4,1594,644
3.472544,503,1706,471
3.482544,649,1885,353
3.492312,49,2210,223
3.502111,-547,2183,257
3.511879,-363,1621,492
3.521678,146,1656,366
3.531678,366,2165,-15
3.541446,233,2142,-81
3.550906,-49,1844,16
3.561071,-142,1794,16
3.570869,23,1915,-33
3.580638,142,2039,-133
3.590638,57,2058,-227
3.600436,-149,1978,-277
3.610204,-238,1869,-299
3.620003,-33,1824,-297
3.629771,217,1903,-372
3.639771,194,1974,-490
3.649569,-11,1928,-556
3.659338,-165,1842,-616
3.669136,-149,1798,-627
3.678904,-25,1842,-622
3.688904,64,1889,-727
3.698703,55,1801,-831
3.708471,-65,1678,-836
3.718269,-92,1680,-859
3.728037,-2,1737,-950
3.738037,-100,1705,-1008
3.747836,-236,1664,-1075
3.757604,-181,1642,-1161
3.767403,-84,1508,-1150
3.777201,108,1389,-1111
3.787201,276,1458,-1172
3.796969,-29,1603,-1372
3.806768,-486,1521,-1472
3.816536,-452,1208,-1318
3.826335,-143,1160,-1309
3.836335,126,1390,-1554
3.846103,307,1292,-1618
3.855901,137,949,-1475
3.865669,-325,937,-1534
3.875468,-547,1112,-1761
3.885468,-359,1001,-1747
3.895236,-47,789,-1647
3.905035,114,764,-1811
3.914833,51,617,-1847
3.924601,-140,498,-1643
3.934601,-302,528,-1766
3.944400,-174,417,-2165
3.954168,-40,385,-2132
3.963966,-174,189,-1624
3.973734,-72,-58,-1656
3.983734,41,39,-2191
3.993533,-181,-33,-2229
4.3301,-184,-295,-1948
4.13100,-158,-359,-1829
4.22868,-333,-484,-1940
4.32868,-186,-672,-2157
4.42666,126,-593,-1913
4.52465,214,-750,-1574
4.62233,-88,-1133,-1963
4.72032,-509,-1138,-2109
4.82032,-447,-1243,-1688
4.91800,-102,-1570,-1734
4.101598,185,-1450,-1775
4.111366,294,-1254,-1379
4.121165,55,-1816,-1377
4.131165,-258,-2152,-1570
4.140963,-442,-1815,-1277
4.150732,-367,-2131,-1106
4.160530,41,-2366,-1174
4.170298,273,-1948,-925
4.180298,173,-2032,-656
4.190097,41,-2398,-627
4.199865,-70,-2506,-543
4.209663,-143,-2486,-333
4.219462,-127,-2445,-145
4.229462,58,-2340,41
4.239230,296,-2315,185
4.249029,235,-2482,224
4.258797,-27,-2409,298
4.268595,-117,-2231,553
4.278595,89,-2213,953
4.288363,210,-2243,1099
4.298162,87,-2097,858
4.307930,87,-1906,940
4.317729,182,-1936,1340
4.327729,192,-1704,1331
4.337527,128,-1479,1310
4.347295,-27,-1595,1596
4.357094,-111,-1513,1728
4.366862,132,-1357,1758
4.376862,441,-956,1621
4.386660,446,-484,1430
4.396429,285,-843,1751
4.406227,62,-947,2028
4.415995,-58,-336,1894
4.425995,42,-256,1926
4.435794,112,-250,1937
4.445592,274,32,1694
4.455360,416,-50,1733
4.465159,149,66,1910
4.475159,-70,523,1819
4.484927,85,342,1876
4.494726,253,312,1819
4.504494,353,844,1508
4.514292,389,751,1599
4.524292,126,714,1744
4.534091,-284,1103,1669
4.543859,-247,964,1699
4.553658,333,794,1517
4.563426,676,1132,1203
4.573426,374,1462,1239
4.583224,-2,1381,1421
4.592992,-52,1162,1437
4.602791,-74,1267,1276
4.612559,-172,1465,1173
4.622559,14,1512,1235
4.632358,416,1560,1155
4.642126,566,1601,948
4.651924,246,1685,907
4.661723,-231,1705,969
4.671723,-286,1521,1037
4.681491,121,1544,980
4.691289,455,1862,735
4.701057,341,1980,628
4.710856,-6,1808,746
4.720856,-229,1719,776
4.730624,-184,1799,676
4.740423,155,1885,574
4.750191,474,1922,473
4.759989,485,1837,428
4.769989,221,1773,457
4.779757,-161,1960,458
4.789556,-277,2076,446
4.799355,-59,1965,444
4.809123,130,1947,333
4.819123,212,1978,169
4.828921,182,1930,116
4.838689,17,1962,148
4.848488,-143,2031,187
4.858256,-149,2026,185
4.868256,62,2006,121
4.878055,244,2010,-6
4.887823,210,1967,-109
4.897621,35,1940,-86
4.907389,-158,2012,-22
4.917389,-190,2051,-36
4.927188,-33,2031,-97
4.936986,192,2005,-174
4.946754,262,1955,-259
4.956553,32,1990,-286
4.966553,-184,2042,-240
4.976321,-108,1989,-231
4.986120,60,1976,-304
4.995888,110,1997,-390
5.5686,62,1944,-452
5.15686,-70,1926,-474
5.25454,-127,1965,-454
5.35253,3,1962,-461
5.45021,98,1944,-509
5.54820,53,1939,-568
5.64820,-11,1917,-606
5.74588,-43,1905,-615
5.84386,-52,1928,-633
5.94154,-18,1921,-666
5.103953,37,1865,-697
5.113953,-18,1853,-747
5.123721,-124,1867,-772
5.133520,-111,1846,-763
5.143318,7,1812,-781
5.153086,116,1764,-790
5.163086,107,1783,-840
5.172885,-52,1853,-954
5.182653,-213,1801,-977
5.192452,-199,1678,-938
5.202220,-90,1694,-968
5.212220,-42,1765,-1040
5.222018,-13,1703,-1079
5.231786,21,1615,-1081
5.241585,-45,1615,-1115
5.251353,-145,1621,-1170
5.261353,-104,1606,-1200
5.271151,30,1562,-1208
5.280920,89,1469,-1179
5.290718,-15,1481,-1206
5.300486,-225,1583,-1336
5.310486,-322,1537,-1375
5.320285,-181,1399,-1318
5.330053,-40,1385,-1366
5.339851,-25,1408,-1443
5.349650,-11,1356,-1424
5.359650,19,1276,-1429
5.369418,-9,1230,-1477
5.379217,-120,1251,-1527
5.388985,-238,1244,-1625
5.398783,-177,1115,-1624
5.408783,-6,1026,-1591
5.418551,5,1044,-1670
5.428350,-38,980,-1634
5.438118,-38,940,-1616
5.447917,-233,1012,-1804
5.457917,-372,898,-1861
5.467685,-129,696,-1800
5.477483,112,657,-1824
5.487251,49,630,-1782
5.497050,-213,598,-1757
5.507050,-354,607,-1857
5.516818,-150,455,-1943
5.526617,-33,317,-2000
5.536385,-159,351,-1954
5.545845,-127,248,-1815
5.556010,-83,116,-1909
5.566010,-142,78,-2077
5.575808,-124,0,-2013
5.585577,-145,-129,-1936
5.595375,-197,-227,-1947
